Upc,Brand,Title,Url,Sales Rank,Num Used,Price Used,Num New,Price New,Num Revs,Rating
768687000000,Bell Sports,"Bell Solar Blast Bike Helmet (Red Stripe, Universal Adult)",http://www.amazon.com/Bell-Solar-Helmet-Stripe-Universal/dp/B008Z9IRXA%3FSubscriptionId%3DAKIAIYICN5TUJRQWFUOQ%26tag%3Dcrowheigcycl-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB008Z9IRXA,"245,095",0,,16,$27.98 ,2,5
768687000000,Giro,Giro Feature Bicycle Helmet Large Matte White,http://www.amazon.com/Giro-Feature-Bicycle-Helmet-Large/dp/B00FNJLY2Q%3FSubscriptionId%3DAKIAIYICN5TUJRQWFUOQ%26tag%3Dcrowheigcycl-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB00FNJLY2Q,0,0,,9,$67.45 ,74,4.6
768687000000,Giro,Giro Child Rodeo Helmet (Highlight Yellow),http://www.amazon.com/Giro-Child-Helmet-Highlight-Yellow/dp/B008Z9H6A0%3FSubscriptionId%3DAKIAIYICN5TUJRQWFUOQ%26tag%3Dcrowheigcycl-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB008Z9H6A0,0,0,,2,$24.99 ,4,4.8
768687000000,Giro,"Giro Bishop Sport Helmet - BLACK/CHARCOAL, ONE SIZE - XL",http://www.amazon.com/Giro-Bishop-Sport-Helmet-CHARCOAL/dp/B00FMZMEZ2%3FSubscriptionId%3DAKIAIYICN5TUJRQWFUOQ%26tag%3Dcrowheigcycl-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB00FMZMEZ2,0,0,,9,$39.99 ,0,4.8
768687000000,Giros,"Giro Savant Cycling Helmet (White/Silver, X-Large)",http://www.amazon.com/Giro-Savant-Cycling-Helmet-X-Large/dp/B008Z9EKHM%3FSubscriptionId%3DAKIAIYICN5TUJRQWFUOQ%26tag%3Dcrowheigcycl-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB008Z9EKHM,0,0,,10,$79.99 ,135,4.7
768687000000,Giro,"Giro Savant Cycling Helmet (Matte Black/Charcoal, X-Large)",http://www.amazon.com/Giro-Savant-Cycling-Charcoal-X-Large/dp/B008Z9EJSW%3FSubscriptionId%3DAKIAIYICN5TUJRQWFUOQ%26tag%3Dcrowheigcycl-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB008Z9EJSW,0,0,,9,$79.95 ,135,4.7
768687000000,Giro,"Giro Atmos Cycling Helmet (Matte Black/Highlight Yellow, Large)",http://www.amazon.com/Giro-Cycling-Helmet-Highlight-Yellow/dp/B008Z9DCQC%3FSubscriptionId%3DAKIAIYICN5TUJRQWFUOQ%26tag%3Dcrowheigcycl-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB008Z9DCQC,0,2,$135.00 ,15,$159.99 ,106,4.5
768687000000,,,,0,,,,,106,4.5
768687000000,Giro,"Giro Aeon Cycling Helmet (Matte White/Silver, Small)",http://www.amazon.com/Giro-Cycling-Helmet-Matte-Silver/dp/B008Z9BOIK%3FSubscriptionId%3DAKIAIYICN5TUJRQWFUOQ%26tag%3Dcrowheigcycl-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB008Z9BOIK,0,0,,11,$224.85 ,104,4.8
768687000000,Giro,"Giro Atmos Cycling Helmet (Red/Black, Large)",http://www.amazon.com/Giro-Atmos-Cycling-Helmet-Black/dp/B008Z9DABO%3FSubscriptionId%3DAKIAIYICN5TUJRQWFUOQ%26tag%3Dcrowheigcycl-20%26linkCode%3Dxm2%26camp%3D2025%26creative%3D165953%26creativeASIN%3DB008Z9DABO,0,0,,17,$161.95 ,106,4.5
